route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
2-10593,2,"Fraser to Fyshwick via Belconnen & City",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
2-10605,2,"Fraser to Fyshwick via Belconnen & City",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
3-10593,3,"Spence to CBR Airport via City & Brindabella Park",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
3-10605,3,"Spence to CBR Airport via City & Brindabella Park",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
4-10593,4,"Belconnen to Tuggeranong via City & Woden",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
4-10605,4,"Belconnen to Tuggeranong via City & Woden",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
5-10593,5,"Lanyon to City ANU via Erindale & Woden",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
5-10605,5,"Lanyon to City ANU via Erindale & Woden",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
6-10593,6,"Woden to City ANU via Kingston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
6-10605,6,"Woden to City ANU via Kingston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
7-10593,7,"Duffy to City ANU via Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
7-10605,7,"Duffy to City ANU via Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
8-10593,8,"Gunghalin to Belconnen",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
8-10605,8,"Gunghalin to Belconnen",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
9-10593,9,"Belconnen to Watson via Bruce & Dickson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
9-10605,9,"Belconnen to Watson via Bruce & Dickson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
10-10593,10,"Denman Prospect to City ANU",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
10-10605,10,"Denman Prospect to City ANU",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
18-10593,18,"Gungahlin to Dickson via Franklin & Mitchell",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
18-10605,18,"Gungahlin to Dickson via Franklin & Mitchell",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
19-10593,19,"Bonner Loop via Forde & Amaroo",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
19-10605,19,"Bonner Loop via Forde & Amaroo",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
20-10593,20,"Bonner Loop via Amaroo & Forde",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
20-10605,20,"Bonner Loop via Amaroo & Forde",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
21-10593,21,"Throsby Loop via Palmerston & Harrison",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
21-10605,21,"Throsby Loop via Palmerston & Harrison",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
22-10593,22,"Throsby Loop via Harrison & Palmerston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
22-10605,22,"Throsby Loop via Harrison & Palmerston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
23-10593,23,"Gungahlin to Belconnen via Crace & Giralang",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
23-10605,23,"Gungahlin to Belconnen via Crace & Giralang",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
24-10593,24,"Gungahlin to Belconnen via Nicholls & McKellar",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
24-10605,24,"Gungahlin to Belconnen via Nicholls & McKellar",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
25-10593,25,"Taylor Loop via Amaroo & Moncrieff",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
25-10605,25,"Taylor Loop via Amaroo & Moncrieff",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
26-10593,26,"Taylor Loop via Moncrieff & Amaroo",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
26-10605,26,"Taylor Loop via Moncrieff & Amaroo",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
27-10593,27,"Casey to Gungahlin via Ngunnawal & Moncrieff",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
27-10605,27,"Casey to Gungahlin via Ngunnawal & Moncrieff",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
28-10593,28,"Casey to Gungahlin via Ngunnawal",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
28-10605,28,"Casey to Gungahlin via Ngunnawal",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
30-10593,30,"Belconnen to Dickson via Giralang & Kaleen North",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
30-10605,30,"Belconnen to Dickson via Giralang & Kaleen North",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
31-10593,31,"Belconnen to City via Kaleen South & Dickson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
31-10605,31,"Belconnen to City via Kaleen South & Dickson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
32-10593,32,"Belconnen to City via Jamison & Aranda",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
32-10605,32,"Belconnen to City via Jamison & Aranda",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
40-10593,40,"Fraser Loop via Kippax & Charnwood",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
40-10605,40,"Fraser Loop via Kippax & Charnwood",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
41-10593,41,"Fraser to Belconnen via Flynn & Melba",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
41-10605,41,"Fraser to Belconnen via Flynn & Melba",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
42-10593,42,"Fraser Loop via Charnwood & Kippax",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
42-10605,42,"Fraser Loop via Charnwood & Kippax",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
43-10593,43,"Spence to Belconnen via Evatt & McKellar",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
43-10605,43,"Spence to Belconnen via Evatt & McKellar",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
44-10593,44,"Kippax to Belconnen via West Macgregor & Higgins",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
44-10605,44,"Kippax to Belconnen via West Macgregor & Higgins",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
45-10593,45,"Kippax to Belconnen via Hawker & Weetangera",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
45-10605,45,"Kippax to Belconnen via Hawker & Weetangera",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
46-10593,46,"Kippax to Belconnen via Latham & Florey",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
46-10605,46,"Kippax to Belconnen via Latham & Florey",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
47-10593,47,"Whitlam Denman Loop",,3,0042AC,FFFFFF,
47-10605,47,"Whitlam Denman Loop",,3,0042AC,FFFFFF,
50-10593,50,"Watson to City via Dickson & Lyneham",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
50-10605,50,"Watson to City via Dickson & Lyneham",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
51-10593,51,"Dickson to City via North Lyneham & O'Connor",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
51-10605,51,"Dickson to City via North Lyneham & O'Connor",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
53-10593,53,"Dickson to National Museum via Hackett & Ainslie",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
53-10605,53,"Dickson to National Museum via Hackett & Ainslie",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
54-10593,54,"Majura Park Loop via Campbell Park",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
54-10605,54,"Majura Park Loop via Campbell Park",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
55-10593,55,"ADFA Loop via Campbell & Reid",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
55-10605,55,"ADFA Loop via Campbell & Reid",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
56-10593,56,"Fyshwick to City via Red Hill & Kingston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
56-10605,56,"Fyshwick to City via Red Hill & Kingston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
57-10593,57,"Woden to City via Hughes & Yarralumla",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
57-10605,57,"Woden to City via Hughes & Yarralumla",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
58-10593,58,"Woden to City via Curtin & Deakin",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
58-10605,58,"Woden to City via Curtin & Deakin",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
59-10593,59,"Woden to City ANU via Barton & Russell",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
59-10605,59,"Woden to City ANU via Barton & Russell",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
60-10593,60,"Mawson Loop via O'Malley & Farrer",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
60-10605,60,"Mawson Loop via O'Malley & Farrer",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
61-10593,61,"Mawson Loop via Farrer & O'Malley",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
61-10605,61,"Mawson Loop via Farrer & O'Malley",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
62-10593,62,"Torrens Loop via Lyons & Pearce",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
62-10605,62,"Torrens Loop via Lyons & Pearce",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
63-10593,63,"Cooleman Court to Woden via Stirling & Fisher",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
63-10605,63,"Cooleman Court to Woden via Stirling & Fisher",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
64-10593,64,"Chapman to Woden via Rivett & Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
64-10605,64,"Chapman to Woden via Rivett & Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
65-10593,65,"Duffy to Woden via Holder & Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
65-10605,65,"Duffy to Woden via Holder & Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
66-10593,66,"Cooleman Court to Woden via Denman Prospect",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
66-10605,66,"Cooleman Court to Woden via Denman Prospect",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
70-10593,70,"Tuggeranong to Woden via Kambah West & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
70-10605,70,"Tuggeranong to Woden via Kambah West & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
71-10593,71,"Tuggeranong to Woden via Kambah East & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
71-10605,71,"Tuggeranong to Woden via Kambah East & Cooleman Ct",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
72-10593,72,"Tuggeranong to Woden via Oxley & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
72-10605,72,"Tuggeranong to Woden via Oxley & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
73-10593,73,"Tuggeranong to Woden via Monash & Wanniassa",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
73-10605,73,"Tuggeranong to Woden via Monash & Wanniassa",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
74-10593,74,"Chisholm Loop via Erindale & Richardson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
74-10605,74,"Chisholm Loop via Erindale & Richardson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
75-10593,75,"Chisholm Loop via Richardson & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
75-10605,75,"Chisholm Loop via Richardson & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
76-10593,76,"Tuggeranong to Woden via Calwell & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
76-10605,76,"Tuggeranong to Woden via Calwell & Erindale",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
