route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
2-10605,2023-COMBNXT-Weekday-02,56348093-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348094-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348095-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348096-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348097-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,0
2-10605,2023-COMBNXT-Weekday-02,56348098-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348099-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348100-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348101-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348102-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348103-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348104-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348105-2023-COMBNXT-Weekday-02,Fyshwick,0,20656,1,1
2-10605,2023-COMBNXT-Weekday-02,56348106-2023-COMBNXT-Weekday-02,Railway Station,0,20667,1,1
2-10605,2023-COMBNXT-Weekday-02,56348107-2023-COMBNXT-Weekday-02,Railway Station,0,20667,1,1
2-10605,2023-COMBNXT-Weekday-02,56348108-2023-COMBNXT-Weekday-02,Railway Station,0,20667,1,1
2-10605,2023-COMBNXT-Weekday-02,56348109-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,0
2-10605,2023-COMBNXT-Weekday-02,56348110-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348111-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348112-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348113-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348114-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348115-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348116-2023-COMBNXT-Weekday-02,Fraser,1,20658,1,1
2-10605,2023-COMBNXT-Weekday-02,56348117-2023-COMBNXT-Weekday-02,Fraser,1,20662,1,1
3-10605,2023-COMBNXT-Weekday-02,56348118-2023-COMBNXT-Weekday-02,Spence,1,30551,1,1
3-10605,2023-COMBNXT-Weekday-02,56348119-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348120-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348121-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348122-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348123-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348124-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348125-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
3-10605,2023-COMBNXT-Weekday-02,56348126-2023-COMBNXT-Weekday-02,Airport,0,30518,1,1
